code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510300,LONG,201801121305,4213.2,201801121310,4213.6,1,0.4,1.6,-2.6,-73.8,enterlong,exitlong,408,409
SSE.ETF.510300,LONG,201801121320,4215.6,201801121325,4213,1,-2.6,2.2,-2.6,-76.4,enterlong,exitlong,411,412
SSE.ETF.510300,SHORT,201801121330,4211.6,201801121350,4206.8,1,4.8,10.6,-1.6,-71.6,entershort,exitshort,413,417
SSE.ETF.510300,LONG,201801121355,4210.2,201801121400,4206.4,1,-3.8,3.4,-4.4,-75.4,enterlong,exitlong,418,419
SSE.ETF.510300,LONG,201801121410,4212.6,201801121420,4215.4,1,2.8,4.4,-0.6,-72.6,enterlong,exitlong,421,423
SSE.ETF.510300,LONG,201801121425,4217.8,201801121440,4221,1,3.2,6.2,-0.2,-69.4,enterlong,exitlong,424,427
SSE.ETF.510300,LONG,201801121445,4225,201801121455,4228.6,1,3.6,7,-1.8,-65.8,enterlong,exitlong,428,430
SSE.ETF.510300,LONG,201801150940,4234,201801150945,4224.4,1,-9.6,0.2,-15,-75.4,enterlong,exitlong,433,434
SSE.ETF.510300,SHORT,201801150955,4228,201801151005,4234.2,1,-6.2,2,-9.4,-81.6,entershort,exitshort,436,438
SSE.ETF.510300,LONG,201801151010,4243.4,201801151025,4256.4,1,13,22.6,-0.8,-68.6,enterlong,exitlong,439,442
SSE.ETF.510300,LONG,201801151120,4256.8,201801151125,4252.2,1,-4.6,0.8,-5.6,-73.2,enterlong,exitlong,453,454
SSE.ETF.510300,SHORT,201801151305,4247.2,201801151320,4253,1,-5.8,3,-5.8,-79,entershort,exitshort,456,459
SSE.ETF.510300,SHORT,201801151325,4252,201801151335,4256.2,1,-4.2,4,-5.2,-83.2,entershort,exitshort,460,462
SSE.ETF.510300,SHORT,201801151345,4249,201801151410,4237,1,12,20.6,-0.4,-71.2,entershort,exitshort,464,469
SSE.ETF.510300,LONG,201801151415,4241.4,201801151435,4242.6,1,1.2,10.6,-0.8,-70,enterlong,exitlong,470,474
