code,target,sigprice,gentime,usertag
SSE.ETF.510300,0,3275.2,20181105095500000,exitshort
SSE.ETF.510300,1,3270.4,20181105100000000,enterlong
SSE.ETF.510300,0,3272.8,20181105102500000,exitlong
SSE.ETF.510300,1,3277.8,20181105103000000,enterlong
SSE.ETF.510300,0,3274.2,20181105103500000,exitlong
SSE.ETF.510300,-1,3260.2,20181105104500000,entershort
SSE.ETF.510300,0,3254.6,20181105112000000,exitshort
SSE.ETF.510300,-1,3232.4,20181105130500000,entershort
SSE.ETF.510300,0,3243.4,20181105132000000,exitshort
SSE.ETF.510300,-1,3242.6,20181105133500000,entershort
SSE.ETF.510300,0,3250.4,20181105135500000,exitshort
SSE.ETF.510300,-1,3244.6,20181105140000000,entershort
SSE.ETF.510300,0,3252,20181105141000000,exitshort
SSE.ETF.510300,1,3261.4,20181105142500000,enterlong
SSE.ETF.510300,0,3256,20181105143500000,exitlong
SSE.ETF.510300,1,3262.2,20181105144000000,enterlong
SSE.ETF.510300,0,3265,20181105145000000,exitlong
SSE.ETF.510300,-1,3252.4,20181106093500000,entershort
SSE.ETF.510300,0,3251.6,20181106094000000,exitshort
SSE.ETF.510300,-1,3246.4,20181106094500000,entershort
SSE.ETF.510300,0,3249.8,20181106095000000,exitshort
SSE.ETF.510300,-1,3236,20181106095500000,entershort
SSE.ETF.510300,0,3237.8,20181106100500000,exitshort
SSE.ETF.510300,-1,3237.2,20181106101000000,entershort
SSE.ETF.510300,0,3237.2,20181106102000000,exitshort
SSE.ETF.510300,-1,3234,20181106102500000,entershort
SSE.ETF.510300,0,3232,20181106104500000,exitshort
SSE.ETF.510300,-1,3230.4,20181106105000000,entershort
SSE.ETF.510300,0,3235.6,20181106110000000,exitshort
SSE.ETF.510300,-1,3231.2,20181106110500000,entershort
SSE.ETF.510300,0,3230,20181106112000000,exitshort
SSE.ETF.510300,-1,3215.2,20181106112500000,entershort
SSE.ETF.510300,0,3220.4,20181106133000000,exitshort
SSE.ETF.510300,1,3227,20181106133500000,enterlong
SSE.ETF.510300,0,3224,20181106134000000,exitlong
SSE.ETF.510300,1,3232,20181106135000000,enterlong
